encoded,original
air_transportation_32eed832,Air transportation
alcoholic_beverages_4d2daa76,Alcoholic beverages
alcoholic_beverages__b854245c,Alcoholic beverages purchased from stores
alcoholic_beverages__1154ebdc,Alcoholic beverages served in licensed establishments
alcoholic_beverages__673c8949,"Alcoholic beverages, tobacco products and recreational cannabis"
all_other_food_prepa_a537a255,All other food preparations
all_other_miscellane_e3023714,All other miscellaneous food preparations (2013=100)
all_other_passenger__9593b4f3,All other passenger vehicle operating expenses
all_items_e644bc04,All-items
all_items__1992_100__bf411a15,All-items (1992=100)
all_items_excluding__d703a743,All-items excluding alcoholic beverages and recreational cannabis
all_items_excluding__78abc238,"All-items excluding alcoholic beverages, tobacco products and smokers' supplies and recreational cannabis"
all_items_excluding__52c91aa5,All-items excluding energy
all_items_excluding__7adef8ff,All-items excluding food
all_items_excluding__44e735c3,All-items excluding food and energy
all_items_excluding__e101a93a,All-items excluding gasoline
all_items_excluding__8b7bff62,All-items excluding mortgage interest cost
all_items_excluding__0e24099b,All-items excluding shelter
all_items_excluding__e4499196,"All-items excluding shelter, insurance and financial services"
all_items_excluding__f35ebc5c,All-items excluding tobacco products and smokers' supplies and recreational cannabis
apples_92446c03,Apples
area_rugs_and_mats_4c330fff,Area rugs and mats
athletic_footwear_5f4a74b8,Athletic footwear
audio_equipment_02b59d44,Audio equipment
baby_foods_48486749,Baby foods
bacon__2013_100__3fc64011,Bacon (2013=100)
bakery_and_cereal_pr_1e8558c6,Bakery and cereal products (excluding baby food)
bakery_products_a4a887db,Bakery products
bananas_1ee31b77,Bananas
bedding_and_other_ho_4ca0ee4f,Bedding and other household textiles
beer_purchased_from__dfa2ffff,Beer purchased from stores
beer_served_in_licen_246987de,Beer served in licensed establishments
berries__including_c_6d8d3961,Berries (including cherries) (202304=100)
bleach_and_other_hou_34a0db1e,Bleach and other household chemical products (2013=100)
books_and_reading_ma_90022ee4,Books and reading material (excluding textbooks)
bread__rolls_and_bun_090cbe8b,"Bread, rolls and buns"
breakfast_cereal_and_6b7f2b69,Breakfast cereal and other cereal products (excluding baby food)
butter_e5961b0b,Butter
canned_and_other_pre_8b346ca5,Canned and other preserved fish
canned_fruit__2013_1_daa51ff3,Canned fruit (2013=100)
canned_infant_or_jun_67868cc5,Canned infant or junior foods (2013=100)
canned_salmon__2013__f2ab8151,Canned salmon (2013=100)
canned_tuna__2013_10_5b8c5a07,Canned tuna (2013=100)
canned_vegetables_an_a9e6c90e,Canned vegetables and other vegetable preparations
carrots__202304_100__419aa8bf,Carrots (202304=100)
cellular_services__2_9b7cc580,Cellular services (2017=100)
cellular_services__2_500d6be1,Cellular services (202304=100)
cereal_products__exc_527e6cb3,Cereal products (excluding baby food)
cheddar_cheese__2013_19f28d2c,Cheddar cheese (2013=100)
cheese_a67778b3,Cheese
child_care_and_house_ff409c5e,Child care and housekeeping services
child_care_services_561e0ead,Child care services
children_s_clothing_2af7e5a0,Children's clothing
children_s_footwear__346fe371,Children's footwear (excluding athletic)
cigarettes_05611bc0,Cigarettes
citrus__excluding_or_a2018dc2,Citrus (excluding oranges) (202304=100)
city_bus_and_subway__5fa06f66,City bus and subway transportation
clothing_efe0bd2c,Clothing
clothing_accessories_4413f6e7,Clothing accessories (2013=100)
clothing_accessories_d7b129f1,"Clothing accessories, watches and jewellery"
clothing_and_footwea_1b81f5be,Clothing and footwear
clothing_material_an_13a34bf6,Clothing material and notions
clothing_material__n_d8b6a8ee,"Clothing material, notions and services"
coffee_3c09b8d0,Coffee
coffee_and_tea_352a30fa,Coffee and tea
communications_cf948ca3,Communications
computer_equipment___b360a6bd,"Computer equipment, software and supplies (201104=100)"
condiments__spices_a_d21ca891,"Condiments, spices and vinegars"
confectionery_0c1e0ff3,Confectionery
contact_lenses__2013_678f6b98,Contact lenses (2013=100)
cookies_and_crackers_ba6c1011,Cookies and crackers
cookies_and_sweet_bi_a47d49c3,Cookies and sweet biscuits (2013=100)
cooking_appliances_d7a06f4e,Cooking appliances
crackers_and_crisp_b_da0982ed,Crackers and crisp breads (2013=100)
creams__lotions_and__af7cadf8,"Creams, lotions and cosmetics (2013=100)"
cucumber__202304_100_191d427c,Cucumber (202304=100)
dairy_products_df860888,Dairy products
dairy_products_and_e_3b1ad743,Dairy products and eggs
dental_care_services_f0815db0,Dental care services
detergents_and_rinse_e8c22ca8,Detergents and rinse agents for dish washing (2013=100)
detergents_and_soaps_71a21504,Detergents and soaps (other than personal care)
digital_computing_eq_6cc920fb,Digital computing equipment and devices
digital_economy_serv_ffae15d7,Digital economy services (201812=100)
dried_and_dehydrated_e45824d2,Dried and dehydrated fruit (2013=100)
drivers__licences_4d376701,Drivers' licences
dry_cleaning_service_ca9c99e8,Dry cleaning services
dry_or_fresh_pasta___0851ef1b,Dry or fresh pasta (2013=100)
durable_goods_b370aec5,Durable goods
edible_fats_and_oils_f1f98afb,Edible fats and oils
education_de7a22a0,Education
education_and_readin_798960d9,Education and reading
eggs_9890f069,Eggs
electricity_656e4358,Electricity
energy_5cc28f31,Energy
eye_care_goods_1336fadc,Eye care goods
eye_care_services__2_40db1f98,Eye care services (200704=100)
fabric_softener__201_f00e72fc,Fabric softener (2013=100)
fermented_or_pickled_71410493,Fermented or pickled vegetables (2013=100)
financial_services___42f809e6,Financial services (200212=100)
fish_071642fa,Fish
fish__seafood_and_ot_41e13f8b,"Fish, seafood and other marine products"
flour_and_flour_base_6795e5cc,Flour and flour-based mixes
foil_supplies__2013__5044d488,Foil supplies (2013=100)
food_0a38e728,Food
food_and_energy_c3814d7a,Food and energy
food_purchased_from__a5966d93,Food purchased from cafeterias and other restaurants
food_purchased_from__081d2bd3,Food purchased from fast food and take-out restaurants
food_purchased_from__635f0892,Food purchased from restaurants
food_purchased_from__78246d9a,Food purchased from stores
food_purchased_from__5d817580,Food purchased from table-service restaurants
footwear_0dc41158,Footwear
fresh_fruit_9e83eeb3,Fresh fruit
fresh_fruit_and_vege_5fd3f9f2,Fresh fruit and vegetables
fresh_milk_bbab65f7,Fresh milk
fresh_or_frozen_beef_4c814218,Fresh or frozen beef
fresh_or_frozen_beef_b31cc551,Fresh or frozen beef chuck cuts (202404=100)
fresh_or_frozen_beef_cf2a3c18,Fresh or frozen beef hip cuts (202404=100)
fresh_or_frozen_beef_804e7dae,Fresh or frozen beef loin cuts (202404=100)
fresh_or_frozen_beef_a4190b50,Fresh or frozen beef rib cuts (202404=100)
fresh_or_frozen_chic_fb7cb50c,Fresh or frozen chicken
fresh_or_frozen_chic_f5aac697,Fresh or frozen chicken breasts (202404=100)
fresh_or_frozen_chic_e4718d78,Fresh or frozen chicken drumsticks (202404=100)
fresh_or_frozen_chic_fb5ff5b2,Fresh or frozen chicken thighs (202404=100)
fresh_or_frozen_fish_15f99709,Fresh or frozen fish (including portions and fish sticks)
fresh_or_frozen_grou_269365ec,Fresh or frozen ground beef (202404=100)
fresh_or_frozen_meat_9e73b81c,Fresh or frozen meat (excluding poultry)
fresh_or_frozen_pork_20161c2a,Fresh or frozen pork
fresh_or_frozen_pork_f72bf42c,Fresh or frozen pork loin cuts (202404=100)
fresh_or_frozen_pork_4f2b5b53,Fresh or frozen pork shoulder cuts (202404=100)
fresh_or_frozen_poul_6fa0bfbf,Fresh or frozen poultry
fresh_or_frozen_whol_a52d4738,Fresh or frozen whole chicken (202404=100)
fresh_stewing_beef___5fe1d971,Fresh stewing beef (202404=100)
fresh_vegetables_74c8bae5,Fresh vegetables
frozen_and_dried_veg_79c8a815,Frozen and dried vegetables
frozen_food_preparat_8c414a88,Frozen food preparations
frozen_fruit__2013_1_4ccfbc01,Frozen fruit (2013=100)
fruit_juices_7217a8fa,Fruit juices
fruit__fruit_prepara_fb279845,"Fruit, fruit preparations and nuts"
fuel_oil_and_other_f_4cfe24d8,Fuel oil and other fuels
fuel__parts_and_acce_0714e173,"Fuel, parts and accessories for recreational vehicles"
furniture_bb3a8b2e,Furniture
furniture_and_househ_87c68d54,Furniture and household textiles
gasoline_6c2a49ea,Gasoline
goods_9b2cfa29,Goods
goods_and_services_14d2d639,Goods and services
goods_excluding_food_3afabfb0,Goods excluding food purchased from stores
goods_excluding_food_a3f7f304,Goods excluding food purchased from stores and energy
grapes__202304_100__40b28300,Grapes (202304=100)
hair_preparations_an_ee560b2a,Hair preparations and other toilet preparations (2013=100)
ham_and_bacon_4dbac805,Ham and bacon
ham_excluding_deli_h_56e6e6b8,Ham excluding deli ham (2013=100)
health_and_personal__d4a11939,Health and personal care
health_care_aeebad08,Health care
health_care_goods_08660a41,Health care goods
health_care_services_e04e9765,Health care services
herbs__spices_and_se_49267459,"Herbs, spices and seasonings (2013=100)"
home_entertainment_e_d0db41c9,"Home entertainment equipment, parts and services"
homeowners__home_and_0063b30c,Homeowners' home and mortgage insurance
homeowners__maintena_3da93e95,Homeowners' maintenance and repairs
homeowners__replacem_2e633e35,Homeowners' replacement cost
household_appliances_bf99c602,Household appliances
household_cleaning_a_d5807dc5,Household cleaning and polishing products (2013=100)
household_cleaning_p_608f4e78,Household cleaning products
household_equipment_62df944b,Household equipment
household_furnishing_4ba9ecad,Household furnishings and equipment
household_operations_cf9cfe28,Household operations
household_operations_c29aecb8,"Household operations, furnishings and equipment"
household_paper_supp_82d501b4,Household paper supplies (2013=100)
household_textiles_6f6975a8,Household textiles
household_tools__inc_3da6a58f,"Household tools (including lawn, garden and snow removal equipment)"
housekeeping_service_df8b98d8,Housekeeping services
housing__1986_defini_2f08d62c,Housing (1986 definition)
ice_cream_and_relate_427802dd,Ice cream and related products
infant_formula__2013_4c90439a,Infant formula (2013=100)
instant_and_other_co_04463ea6,Instant and other coffee (2013=100)
insurance__licences__05a8e0f3,"Insurance, licences and other services for recreational vehicles"
inter_city_transport_0a86fd98,Inter-city transportation
internet_access_serv_cc1c3afb,Internet access services (200212=100)
jam__jelly_and_other_cf4d0a10,"Jam, jelly and other preserves (2013=100)"
jewellery_4a52f248,Jewellery
laundry_and_dishwash_c50db0bb,Laundry and dishwashing appliances
laundry_detergents_a_6b410f58,Laundry detergents and soaps (2013=100)
laundry_services_72b885c3,Laundry services
leasing_of_passenger_294b8a4d,Leasing of passenger vehicles
leather_clothing_acc_dccc5dae,Leather clothing accessories
lettuce_cb9c58bd,Lettuce
liquor_purchased_fro_07d52a83,Liquor purchased from stores
liquor_served_in_lic_6c5f86c3,Liquor served in licensed establishments
local_and_commuter_t_30565788,Local and commuter transportation
low_fat_milk__2013_1_66c71ed7,Low-fat milk (2013=100)
magazines_and_period_17f11728,Magazines and periodicals
margarine_0915d648,Margarine
meat_e4b662d3,Meat
medicinal_and_pharma_092f7bf4,Medicinal and pharmaceutical products
medicinal_cannabis___fda4b00d,Medicinal cannabis (201812=100)
men_s_clothing_1da3e1ef,Men's clothing
men_s_footwear__excl_a916c837,Men's footwear (excluding athletic)
mortgage_interest_co_c88e1858,Mortgage interest cost
mozzarella_cheese__2_fcf5c8c3,Mozzarella cheese (2013=100)
multipurpose_digital_5bad7841,Multipurpose digital devices (201104=100)
mushrooms__202304_10_1d5b5252,Mushrooms (202304=100)
natural_gas_02ca5f3c,Natural gas
newspapers_31d4083a,Newspapers
non_alcoholic_bevera_6e014584,Non-alcoholic beverages
non_durable_goods_cbbebee4,Non-durable goods
non_durable_goods_ex_7816a618,Non-durable goods excluding food purchased from stores
non_durable_goods_ex_c3612fb0,Non-durable goods excluding food purchased from stores and energy
non_electric_kitchen_6b36cdbc,"Non-electric kitchen utensils, tableware and cookware"
non_prescribed_medic_58e24213,Non-prescribed medicines
nut_butter__2013_100_0b6b5fdd,Nut butter (2013=100)
nuts_and_seeds_1ccebb11,Nuts and seeds
onions__202304_100__0a9ef3e4,Onions (202304=100)
operation_of_passeng_d8379eca,Operation of passenger vehicles
operation_of_recreat_3b64f235,Operation of recreational vehicles
oral_hygiene_product_a251b245,Oral-hygiene products
oranges_62f2b770,Oranges
other_bakery_product_1870d08e,Other bakery products
other_clothing_acces_b9dd2953,Other clothing accessories
other_clothing_servi_7691ec97,Other clothing services
other_cultural_and_r_828d772f,Other cultural and recreational services
other_dairy_products_b58c4066,Other dairy products
other_edible_fats_an_6d018362,Other edible fats and oils
other_eye_care_goods_a6b1eab8,Other eye care goods (2013=100)
other_food_preparati_2280b88e,Other food preparations
other_food_products__f71d1267,Other food products and non-alcoholic beverages
other_fresh_fruit_36dad8f9,Other fresh fruit
other_fresh_or_froze_7a78bdd0,Other fresh or frozen beef (202404=100)
other_fresh_or_froze_d397eedf,Other fresh or frozen chicken (202404=100)
other_fresh_or_froze_e4c310cd,Other fresh or frozen meat (excluding poultry)
other_fresh_or_froze_90d1b36f,Other fresh or frozen pork (202404=100)
other_fresh_or_froze_7b353ab0,Other fresh or frozen poultry
other_fresh_vegetabl_c99a7bba,Other fresh vegetables
other_furniture_023355b0,Other furniture
other_health_care_go_ed9584ea,Other health care goods
other_health_care_se_4d5249eb,Other health care services
other_home_entertain_d32f64a8,"Other home entertainment equipment, parts and services"
other_horticultural__8c4f95c3,Other horticultural goods
other_household_appl_7316b1e8,Other household appliances
other_household_clea_7b5b0e45,Other household cleaning products
other_household_equi_67ff239c,Other household equipment
other_household_good_2d7f0aab,Other household goods and services
other_household_serv_081774bd,Other household services
other_household_supp_1d7c658d,Other household supplies
other_lessons__cours_f6f748cd,"Other lessons, courses and education services"
other_owned_accommod_4bb13fb1,Other owned accommodation expenses
other_passenger_vehi_d2d66cb9,Other passenger vehicle operating expenses
other_personal_care__5a914e22,Other personal care supplies and equipment
other_preserved_frui_cec8086c,Other preserved fruit and fruit preparations
other_processed_meat_336315ff,Other processed meat
other_recreational_e_70a80612,Other recreational equipment
other_shellfish__201_b2a234fe,Other shellfish (2013=100)
other_tobacco_produc_fa0cd600,Other tobacco products and smokers' supplies
owned_accommodation_16959577,Owned accommodation
paper_supplies_9600def8,Paper supplies
paper__plastic_and_a_34a8eaf2,"Paper, plastic and aluminum foil supplies"
parking_fees_141acc56,Parking fees
passenger_vehicle_in_1c6fc4d4,Passenger vehicle insurance premiums
passenger_vehicle_ma_e97b444a,Passenger vehicle maintenance and repair services
passenger_vehicle_pa_96319e86,"Passenger vehicle parts, accessories and supplies"
passenger_vehicle_pa_ef26699a,"Passenger vehicle parts, maintenance and repairs"
passenger_vehicle_re_3f0d3030,Passenger vehicle registration fees
pasta_mixes__2013_10_bfad21b1,Pasta mixes (2013=100)
pasta_products_4584a7b0,Pasta products
peppers__202304_100__e02f9a78,Peppers (202304=100)
perfume_and_cologne__66266740,Perfume and cologne (2013=100)
personal_care_4f521f1f,Personal care
personal_care_servic_7b84bcda,Personal care services
personal_care_suppli_a464bed1,Personal care supplies and equipment
personal_soap_fdf8323c,Personal soap
pet_food_and_supplie_966facb9,Pet food and supplies
photographic_equipme_b1758b26,Photographic equipment and supplies
plastic_and_aluminum_f5167a04,Plastic and aluminum foil supplies
plastic_supplies__20_89e1d25c,Plastic supplies (2013=100)
postal_and_other_com_c9095894,Postal and other communications services
potato_chips_and_oth_856b22bf,Potato chips and other snack products n.e.c. (2013=100)
potatoes_b1bebff6,Potatoes
prescribed_medicines_c6e353d9,Prescribed medicines (excluding medicinal cannabis)
prescription_eyeglas_9ef119a6,Prescription eyeglasses (2013=100)
preserved_fruit_and__32b960a2,Preserved fruit and fruit preparations
preserved_vegetables_9af36e02,Preserved vegetables and vegetable preparations
private_transportati_ebc3696e,Private transportation
private_transportati_484350ec,Private transportation excluding gasoline
processed_cheese__20_35ee0293,Processed cheese (2013=100)
processed_meat_3f3eaad6,Processed meat
property_taxes_and_o_831d9757,Property taxes and other special charges
public_transportatio_0311b371,Public transportation
purchase_and_leasing_29ffc06f,Purchase and leasing of passenger vehicles
purchase_and_operati_4d809389,Purchase and operation of recreational vehicles
purchase_of_automobi_d5226cb8,Purchase of automobiles (2013=100)
purchase_of_digital__861d0fde,Purchase of digital media
purchase_of_new_pass_8de2aa5d,Purchase of new passenger vehicles (202204=100)
purchase_of_passenge_fcedd95d,Purchase of passenger vehicles
purchase_of_recreati_3bbfee32,Purchase of recreational vehicles and outboard motors
purchase_of_trucks___b20c122f,"Purchase of trucks, vans and sport utility vehicles (2013=100)"
purchase_of_used_pas_a3e3961e,Purchase of used passenger vehicles (202204=100)
purchase__leasing_an_b768a175,"Purchase, leasing and rental of passenger vehicles"
rail__highway_bus_an_835e7031,"Rail, highway bus and other inter-city transportation"
reading_material__ex_b9718689,Reading material (excluding textbooks)
recreation_b72cc593,Recreation
recreation__educatio_136c2417,"Recreation, education and reading"
recreational_cannabi_4ba15dde,Recreational cannabis (201812=100)
recreational_equipme_8c917a3b,Recreational equipment and services (excluding recreational vehicles)
recreational_service_f6a4fd67,Recreational services
refrigerators_and_fr_5b54f1c5,Refrigerators and freezers
rent_7f41186f,Rent
rental_of_digital_me_60e0c714,Rental of digital media
rental_of_passenger__aaa1cacd,Rental of passenger vehicles
rented_accommodation_c84bf81e,Rented accommodation
rice_and_rice_based__d068f902,Rice and rice-based mixes
roasted_or_ground_co_92ef2b53,Roasted or ground coffee (2013=100)
sauces__condiments_a_d564b941,"Sauces, condiments and dips (2013=100)"
school_textbooks_and_ad526b84,School textbooks and supplies
seafood_and_other_ma_c5d6b5cc,Seafood and other marine products
seeds__plants_and_cu_0ca9ab6c,"Seeds, plants and cut flowers"
semi_durable_goods_c4962f48,Semi-durable goods
services_992a0f05,Services
services_excluding_s_a5b765a2,Services excluding shelter services
services_related_to__0e4d620e,Services related to household furnishings and equipment
shelter_f515a9fb,Shelter
shelter__1986_defini_dc59ed13,Shelter (1986 definition)
shrimps_and_prawns___952178f7,Shrimps and prawns (2013=100)
soup_af086693,Soup
spectator_entertainm_e2724b6b,Spectator entertainment (excluding video and audio subscription services)
sporting_and_exercis_5bb37cd7,Sporting and exercise equipment
stationery__2013_100_002e1c4e,Stationery (2013=100)
sugar_and_confection_87a2d3a7,Sugar and confectionery
sugar_and_syrup_a9ed3b9e,Sugar and syrup
taxi_and_other_local_4f1edfa1,Taxi and other local and commuter transportation services
tea_485c264d,Tea
telephone_equipment__4aa2f934,Telephone equipment (201104=100)
telephone_services_f17e7156,Telephone services
tenants__insurance_p_bc9ca7a2,Tenants' insurance premiums
tenants__maintenance_81017a8e,"Tenants' maintenance, repairs and other expenses"
tobacco_products_and_80a761e1,Tobacco products and smokers' supplies
toiletry_items_and_c_e159d039,Toiletry items and cosmetics
tomatoes_74810820,Tomatoes
tools_and_other_hous_c6983f2b,Tools and other household equipment
toys__games__excludi_0b7271ef,"Toys, games (excluding video games) and hobby supplies"
transportation_a600971f,Transportation
travel_services_fd1639f8,Travel services
travel_tours_3c486893,Travel tours
traveller_accommodat_5605555b,Traveller accommodation
tuition_fees_cafe28f5,Tuition fees
unripened_or_fresh_c_358a061c,Unripened or fresh cheese (2013=100)
upholstered_furnitur_8607fed1,Upholstered furniture
use_of_recreational__5d4a3c9c,Use of recreational facilities and services
vegetables_and_veget_3d0dc6ce,Vegetables and vegetable preparations
video_and_audio_subs_e80ec009,Video and audio subscription services
video_equipment_49a9fb0e,Video equipment
watches_3a481bee,Watches
water_27634ff8,Water
water__fuel_and_elec_de2e50ca,"Water, fuel and electricity"
whole_milk__2013_100_b87c8444,Whole milk (2013=100)
window_coverings_5448536a,Window coverings
wine_purchased_from__4e36ee4f,Wine purchased from stores
wine_served_in_licen_df514045,Wine served in licensed establishments
women_s_clothing_80dbd4fe,Women's clothing
women_s_footwear__ex_08d5a0ea,Women's footwear (excluding athletic)
wooden_furniture_eba0f31b,Wooden furniture
all_items_mom_a01b2ae3,All-items_MoM
all_items_yoy_e9ae604a,All-items_YoY
all_items__1992_100__a0010980,All-items (1992=100)_MoM
all_items__1992_100__229c06d4,All-items (1992=100)_YoY
goods_and_services_m_48108012,Goods and services_MoM
goods_and_services_y_2365660a,Goods and services_YoY
food_mom_1a165df7,Food_MoM
food_yoy_bc56bf0d,Food_YoY
fresh_or_frozen_poul_c49d5b57,Fresh or frozen poultry_MoM
fresh_or_frozen_poul_b34447cf,Fresh or frozen poultry_YoY
fresh_or_frozen_chic_f8786882,Fresh or frozen chicken_MoM
fresh_or_frozen_chic_f554b934,Fresh or frozen chicken_YoY
